UA,1553,BOS,EWR,2,200,-19
US,403,DEN,PHX,0,602,-10
US,446,MCI,PHX,-6,1044,-5
AA,1178,AUS,DFW,-2,190,-1
AA,2410,LAX,DFW,10,1235,2
DL,2453,GSP,ATL,0,153,0
B6,2228,MCO,EWR,-2,937,-7
EV,4555,MCI,IAH,-2,643,1
EV,5698,BDL,IAD,-7,326,-19
EV,4339,RIC,IAH,-2,1157,13
OO,6204,BFL,DEN,6,845,20
OO,6261,SAT,SFO,7,1482,-19
OO,5160,OMA,IAH,15,781,21
OO,6224,RDM,DEN,-1,898,6
B6,860,FLL,BDL,-2,1173,9
EV,5230,CID,ATL,0,694,-17
WN,526,SFO,DEN,-2,967,-2
UA,1222,MCO,LAX,2,2218,4
UA,1507,TPA,EWR,-6,997,-13
AA,1094,SEA,DFW,0,1660,16
AA,1233,BOS,DFW,-4,1562,-10
B6,115,SYR,JFK,-5,209,-13
B6,185,ROC,JFK,-5,264,-17
EV,2519,TYR,DFW,-9,102,-9
EV,3928,MCI,ORD,-1,403,-12
EV,3941,LAN,ORD,0,179,6
EV,5976,BUF,EWR,213,282,226
EV,5677,GSO,EWR,-18,445,-22
NK,224,ORD,LGA,-9,733,27
UA,1457,LAX,IAH,-2,1379,-16
AA,1205,EWR,MIA,-7,1085,-13
OO,5547,ONT,DEN,119,819,116
UA,210,MSP,DEN,-4,680,-23
UA,214,PBI,IAH,-5,956,-3
UA,247,PHX,IAH,111,1009,123
UA,256,RSW,IAH,0,861,-1
UA,319,EWR,MCO,3,937,-18
UA,374,OMA,ORD,12,416,-6
US,635,SMF,PHX,-9,647,12
US,646,OAK,PHX,-2,646,8
US,1941,PVD,CLT,-5,683,-14
UA,422,RNO,DEN,-3,804,14
UA,544,PIT,IAH,22,1117,24
UA,1016,DEN,IAH,-8,862,-4
WN,4122,BOS,BWI,-4,369,-26
WN,4822,LAS,BWI,2,2106,-25
WN,2215,ABQ,HOU,7,759,22
WN,676,PHX,SLC,1,507,-6
WN,2787,PIT,FLL,-1,994,-26
WN,4859,PVD,BWI,6,327,-13
WN,597,SFO,ATL,-6,2139,-16
UA,1158,SFO,ORD,-3,1846,-4
UA,1163,MCO,EWR,-5,937,-18
UA,1188,PDX,IAH,13,1825,11
UA,1198,BOS,ORD,-3,867,-11
UA,1224,SFO,LAX,5,337,-11
UA,1296,SAT,LAX,16,1211,-3
UA,1431,BOS,LAX,3,2611,-5
UA,1637,SEA,EWR,6,2402,-14
UA,1735,LAX,ORD,7,1744,-16
US,410,IAH,PHX,-7,1009,-4
US,459,MCO,PHX,-3,1849,10
US,610,SFO,PHX,-3,651,3
AA,72,DFW,MCO,6,985,3
AA,196,MIA,PHL,4,1013,14
AA,304,SLC,DFW,1,989,12
AA,281,MIA,DFW,-1,1121,-1
AA,233,BWI,MIA,43,946,31
AA,1100,DFW,LGA,-6,1389,-5
AA,1028,DEN,ORD,1,888,-27
AA,1039,MCI,DFW,6,460,3
AA,1345,TUL,DFW,-4,237,-11
AA,1297,LGA,MIA,68,1096,50
AA,1411,LIT,DFW,-5,304,-10
AA,1084,MIA,LGA,-2,1096,-9
AA,1088,LAS,DFW,-3,1055,7
AA,1534,PDX,DFW,-4,1616,-3
AA,1573,TPA,DFW,-6,929,-20
AA,1660,SMF,DFW,11,1431,31
AA,2204,MSY,MIA,-5,675,-13
AA,1515,LAX,ORD,-3,1744,-26
AA,2307,OMA,DFW,-6,583,5
AA,2363,OKC,DFW,10,175,30
AS,81,SEA,ANC,-3,1448,-13
AS,162,FAI,ANC,-16,261,-9
AS,200,SEA,SJC,-10,697,-9
AS,342,SEA,OAK,-5,671,-16
AS,406,PDX,SJC,-5,569,-13
AS,477,LAX,SEA,-5,954,-9
AS,631,PHX,SEA,-5,1107,-12
AS,683,DEN,SEA,-11,1024,-34
AS,699,GEG,SEA,-2,224,3
B6,130,RSW,JFK,-3,1074,-2
B6,154,PBI,JFK,-1,1028,9
B6,353,JFK,PBI,-6,1028,-22
B6,226,TPA,JFK,-7,1005,-5
B6,272,FLL,LGA,-1,1076,2
B6,447,OAK,LGB,-8,353,-10
B6,371,LGA,FLL,0,1076,-6
B6,583,JFK,MCO,-3,944,-19
B6,605,EWR,FLL,-4,1065,-21
B6,525,JFK,TPA,-6,1005,-1
B6,746,PSE,JFK,-3,1617,-5
B6,776,MSY,JFK,-10,1182,-18
B6,794,AUS,JFK,-1,1521,-10
B6,838,BQN,JFK,1,1576,15
B6,892,TPA,BOS,-6,1185,-12
B6,1678,JAX,JFK,0,828,8
B6,1790,DCA,BOS,-3,399,1
DL,421,JFK,ATL,5,760,-19
DL,731,LGA,DTW,4,502,-1
DL,743,RNO,SLC,0,422,18
DL,750,BOS,JFK,-4,187,-8
DL,809,BOS,MSP,0,1124,2
DL,904,LGA,ATL,1,762,-32
DL,977,ORD,ATL,2,606,-21
DL,1088,ANC,MSP,-3,2519,-40
DL,1098,ATW,ATL,1,765,-32
DL,1205,PHX,ATL,124,1587,107
DL,1234,PNS,ATL,-6,271,-20
DL,1235,MCO,SLC,-6,1931,-10
AA,913,DCA,MIA,5,919,-1
DL,1961,RIC,ATL,-6,481,-28
DL,2154,LAX,ATL,-1,1947,-20
DL,2282,BOS,ATL,-2,946,-22
DL,2417,LAS,DTW,-1,1749,-22
DL,1540,OKC,ATL,-10,761,-3
DL,1574,MCO,MSP,-10,1310,-7
DL,1700,MEM,ATL,17,332,-6
DL,1867,TUL,ATL,-5,674,-24
DL,1937,BWI,DTW,-9,409,-19
B6,159,BOS,PHL,-6,280,-21
B6,198,MCO,LGA,-3,950,2
B6,1502,FLL,JFK,10,1069,17
B6,1504,SJU,JFK,27,1598,59
B6,1600,BOS,DCA,-8,399,-23
EV,2533,TYS,DFW,-1,772,10
EV,4213,MHT,ORD,-5,843,-4
EV,4431,SAV,EWR,86,708,85
EV,4411,MEM,EWR,-8,946,-20
EV,4756,CLT,ORD,-1,599,18
EV,4768,TYS,IAD,-7,419,-2
EV,4740,GRB,ORD,-4,173,-10
EV,5103,ABE,DTW,-8,425,-20
EV,5275,JAN,ATL,-1,341,-10
EV,5491,OAJ,ATL,-8,399,-3
EV,5978,FAR,ORD,3,557,0
EV,5917,JAN,ORD,-4,677,-19
EV,6133,ERI,ORD,16,398,19
EV,6082,ATW,ORD,0,160,0
EV,6122,LEX,ORD,-4,323,-11
EV,6143,CWA,ORD,-10,212,-3
F9,1104,CLE,FLL,-4,1062,-22
F9,1057,IAH,SFO,-8,1635,-6
F9,144,SEA,DEN,5,1024,0
F9,1056,SFO,IAH,-8,1635,1
F9,901,TTN,ATL,-3,701,-11
F9,902,ATL,TTN,19,701,24
HA,202,HNL,ITO,-7,216,-4
MQ,3350,RDU,JFK,-5,427,3
MQ,3355,CVG,MIA,-4,948,-7
MQ,3540,PNS,MIA,-5,530,-12
MQ,3488,BHM,MIA,0,661,-5
NK,188,OAK,LAS,-9,407,-8
NK,925,DFW,OAK,0,1457,-29
NK,943,ACY,RSW,102,982,86
NK,316,DTW,LGA,-2,502,58
NK,972,DFW,FLL,3,1119,35
OO,2622,SMF,LAX,-9,373,-2
OO,6360,RAP,DEN,0,300,8
OO,6369,TUS,SFO,4,751,6
OO,5330,EAU,ORD,-8,268,-29
OO,5292,DLH,ORD,-4,397,-4
OO,6276,FSD,ORD,-3,462,2
OO,6235,AUS,SFO,-4,1504,-16
OO,3489,FAT,SEA,-3,748,3
OO,3461,ONT,PDX,-10,838,-19
OO,7423,INL,BRD,-10,153,-3
